text,rating
"Noooooo, no no. Was really excited to try this place! Had a reservation for 11pm, had issues getting there and arrived at 11:15pm. While that's totally our...",1
"*Caveat- this is a review from an American tourist 

I was in Paris recently residing in the St. Germaine area and this was one of our most disappointing...",2
"This place succeeded in one thing with flying colors: Checking the box of ""Deal with unbelievably rude staff at an ultra-French restaurant."" We had plans to...",1
"What a let down! Stuffy, old fashioned, past it's prime! Looks like they haven't spent a dime on the place since the 1950s. Like the Jules Verne it has the...",2
"Here's what is great about Tour d""Argent. The wine list is mind-blowing. If you are a wine fanatic, this alone is worth the visit. And the view of the Seine...",2
I came. I sat after speaking to wait staff about where to sit. I'm here now 20 minutes (by a very busy table that has had wait staff on it multiple times)...,1
"I ate here many years ago, when I lived in Paris.  A local place where I could eat well, without breaking the bank and a nice break from the...",1
"Very nice service and good appetizers, unfortunately the steak had a texture similar to the sole of a shoe. A good place for beers and snacks,  but maybe...",2
"This place was just average. The mushroom soup was the thinnest I've ever had, it was literally water with some mushroom flavor to it. I had fish with rice...",2
"We are Ramen Lovers, we have tried ramen in many cities and many ramen brands have also opened franchise in US and Europe.  It's like a trend.  
Even my...",2
"Reused bread in basket w jam on it. When told server, he said/did nothing. Disgusting and overpriced. Stay away!!!!!",1
"We were, of course, drawn by the history of this spot, with the likes of Hemingway and other brilliant minds who have been known to frequent here. 

We were...",2
Horrible experience.  Sat at the bar for 90 minutes and only was served an appetizer during that time.  Inattentive service (to say the least) capped off by...,1
"I have ordered the crepe Eiffel Tower which suppose to be a 4 star crepe acc. to the menu. It had a very bad taste, without any spices, no salt no pepper.,...",1
Had lunch here two days ago. Lovely location on Seine. That's where pleasure began and ended.  Service: alternated between arrogant and non-existent. Food:...,1
We had a nice sneeze platter to start. That was good. I then had the French onion soup but it was horrible. Very salty and not really flavorful. My wife had...,2
"Went here yesterday because of the great reviews. Although yelp says it was open on Sunday at 8pm, they were closed. Very disappointed. You should update this.",1
Stopped by for a Matcha Croissant and it was the worst and most expensive croissant I've ever had in my life--even the free leftover croissants at my hotel...,1
"Rude front staff, we didn't have a reservation and when we asked for a table - they practically told us to get out if didn't have a reservation. 

Parisians...",1
"This is the absolute worst ""Italian"" restaurant we have ever eaten.  Olive Garden is iron chef material comparing to this dump.  My 12 years old makes...",1
"I was here with my 2 sisters, one of which it was her first time in Paris, we were dying for a good plate of pasta so decided to come here because it looked...",1
"Our experience was horrible. The taller man said something vulgar to my grown daughter. If I had known I would have left, she didn't tell me until we left....",1
"Happened to stumble upon this cute restaurant, but unfortunately the meal left me unsatisfied. I expected more from the french onion soup since it was so...",2
"They are open from 10.30 am - not from 8.30 like you can read nearly everywhere.
We got two Onigiris with salmon. Just one was fresh - the other one was...",2
AMERICANS BEWARE. Our server ripped us off by telling us that the tip was not included in our meal and shamed us into adding one. She made polite...,1
"This place was extremely busy on a Saturday night. We were able to get squeezed in by a super nice host. Everyone seemed to speak English, which is a plus....",2
"At the time of this review this place has 4.5 stars.  WTH? Maybe the other dishes here are better but what we ordered was junk.

All I have to say is, I...",1
"Let's just say - disappointed and don't bother. 

I had a bowl of soba and a onigiri (salmon), the rice is too soggy and too much. For the soba, it's...",1
"I ended up here without a plan, just chose it because it was nearby. The waiter was prompt and helpful with my menu translation questions. The food was...",2
"This was one of the worst meals I've had in Paris. Though it was pleasant outside, the room was uncomfortably hot. One fan did nothing. Food was okay, just...",1
"Meh. Very inattentive and at times even brusk service. The food was fine, but lackluster -- neither interesting flavor combination, nor truth to ingredients...",2
"A few things about this place were really great, but overall it wasn't the best option for us as tourists.

The fries were great, as was the daily special...",2
"Already a taste of scheming in the reviews, select the one star reviews then compare with the 5 star reviews !!  These are mostly written by a traveler who...",1
"EXPENSIVE...!!!  (and not worth it).

I wanted to come here because I read it was artsy, and a place Simone de Beauvoir used to hang out. I was interested...",2
Bad service. Expensive. Food is just okay. Not worth the time or money. You're better off going somewhere else.,1
