text,rating,cleaned_review
"I decided to try Marvellous Edibles because of the rave review the first reviewer gave it, and because it is in my neighborhood of Leaside. I've always driven past it and wondered what it was like, but since she gave it such a great review, I thought I'd give it a go. 

The restaurant has a sort of Parisian cafe feel to it, with mismatched chairs and some booths and tables, and a mural on the wall. Upon arrival mid-Saturday afternoon, we were also presented with 3 menus, breakfast (which was ending shortly), sandwiches and another menu which appeared to be dinner options, priced $16 - $24 range. My friend and I both selected from the sandwich menu. 

I ordered the BLT, but having noticed that they served peameal bacon for breakfast, asked if I could have peameal on my BLT, they obliged, no problem. My friend ordered the meat loaf sandwich and we both ordered the sweet potato fries. 

Service was fast, there were only 2 other occupied tables in the restaurant. I was expecting an average sandwich, didn't really figure you can screw up a BLT, er...thought wrong. The peameal was overcooked, and very dry, and it was served on 'white' bread, no egg or challah bread to be found here!! I was disappointed. The whole sandwich was dry, I asked for mayo, and the waiter said there was already mayo on it, I opened it up and the thing was bare. I showed him, and said, ""Umm, actually there's not..."" (awkward...) 

My friend's meatloaf sandwich was a mess!! First she had asked for no onions, was allergic to them, and upon receiving the sandwich, had to proceed to pick off somewhere in the range of 7-8 pieces of red onion off of her sandwich!! The problem with the sandwich was just that it was a complete mess. It was on a regular bun, and gravy was poured over the meatloaf and the other half of the bun was placed on top. On service, the bottom part of the bun, is soaked, drenched in gravy, making it impossible to pick up! It was just a mess, I think it would be a much more successful item choice if perhaps it was served as an open faced meat loaf sandwich, with the gravy in a boat on the side that you pour on yourself at the time you are going to eat it, so that the bottom bun doesn't disintegrate. 

As if our food quality wasn't bad enough while we were attempting to salvage a meal out of it, our entertainment was listening to our waiter bicker with the other waitress about table assignment and allocation of tips and how unfair she had been. The disagreement got quite heated and their voices were raised, creating quite a bit of tension in the restaurant amongst the customers, or at least, that was my perception. 

Overall, I was not impressed with the food or the service of this restaurant. I would not recommend it. I will not be returning to try their breakfast or brunch, or even to give it a second chance. Unfortunately, that was my very first and last visit. You know what they say, you never get a second chance to make a first impression.",1,decid tri marvel edibl becaus rave review first review gave becaus neighborhood leasid alway driven past wonder wa like sinc gave great review thought give go restaur ha sort parisian cafe feel mismatch chair booth tabl mural wall upon arriv afternoon also present menu breakfast wa end shortli sandwich anoth menu appear dinner option price rang friend select sandwich menu order blt notic serv peameal bacon breakfast ask could peameal blt oblig problem friend order meat loaf sandwich order sweet potato fri servic wa fast onli occupi tabl restaur wa expect averag sandwich realli figur screw blt er thought wrong peameal wa overcook veri dri wa serv bread egg challah bread found wa disappoint whole sandwich wa dri ask mayo waiter said wa alreadi mayo open thing wa bare show said umm actual awkward friend meatloaf sandwich wa mess first ask onion wa allerg upon receiv sandwich proceed pick somewher rang piec red onion sandwich problem sandwich wa wa complet mess wa regular bun gravi wa meatloaf half bun wa place top servic bottom part bun soak drench gravi make imposs pick wa mess think would much success item choic perhap wa serv open face meat loaf sandwich gravi boat side time go eat bottom bun doe disintegr food qualiti wa bad enough attempt salvag meal entertain wa listen waiter bicker waitress tabl assign alloc tip unfair disagr got quit heat voic rais creat quit bit tension restaur amongst custom least wa percept overal wa impress food servic thi restaur would recommend return tri breakfast brunch even give second chanc unfortun wa veri first last visit know say never get second chanc make first impress
Came back into town after I moved out of state for a few years. We ordered the normal chicken salad with house dressing and chicken wings seasoned and to be honest. It was nothing like it used to be. The fries were dried out. Dressing was all paste. And the chicken wings didn't seem completely done. It's a shame bc I used to love this place. It def turned my taste buds to go elsewhere though. Hopefully it changes next time I visit!,2,came back town move state year order normal chicken salad hous dress chicken wing season honest wa noth like use fri dri dress wa past chicken wing seem complet done shame bc use love thi place def turn tast bud go elsewher though hope chang next time visit
"Stopped in to order a White pizza after shopping. Do I did not order ahead. First time there, wasn't a menu posted to see what options were... Ordered the White pizza almost 30 minute wait and was unimpressed with the pizza. Thin and no flavor.",1,stop order white pizza shop order ahead first time wa menu post see option order white pizza almost minut wait wa unimpress pizza thin flavor
"This is a great place for drinks and bar food if you don't mind the stench of cigarette smoke. Don't expect to escape the foul smell by sitting in the ""non-smoking"" dining area, separated by doors used by bar patrons to use the bathroom. 
I'll never know why any business owner would cater to the filthy, unhealthy habits of a few and risk losing the business of 76% of the population that do not smoke.",2,thi great place drink bar food mind stench cigarett smoke expect escap foul smell sit dine area separ door use bar patron use bathroom never know whi ani busi owner would cater filthi unhealthi habit risk lose busi popul smoke
Bad customer service and rude employees. Unfriendly atmosphere. The young girl serving me looked disgusted to work there and was purely throwing the food on the plate! Not going back,1,bad custom servic rude employe unfriendli atmospher young girl serv look disgust work wa pure throw food plate go back
"Where do I start, with the fact that this Mexican restaurant is owned by non mexicans or that the flavorless food is probably what they know as Mexican I don't know but I and everybody in my family were disapointed to say the least I ordered steak fajitas which is a Tex Mex dish FYI and it was horrible this are supposed to be grilled but not here they were boiled and this is a big no. The burrito my friend ordered was awful also so was the service with a waitress that try to speak Spanish to us with no luck at all which was weird because she had a Portuguese accent and both languages are alike anyways my advice go to Don Tequilas us just a couple blocks down.",1,start fact thi mexican restaur non mexican flavorless food probabl know mexican know everybodi famili disapoint say least order steak fajita tex mex dish fyi wa horribl thi suppos grill boil thi big burrito friend order wa aw also wa servic waitress tri speak spanish u luck wa weird becaus portugues accent languag alik anyway advic go tequila u coupl block
"Absolument inadmissible qu il n'y ait pas la possibilité de payer avec une carte de débit ou de crédit à cet établissement....Réveillez-vous ! On est en 2019 ! Aujourd'hui, la plupart des transactions se font en ligne. À moins que ça fasse bien votre affaire d'être payé en argent comptant...",1,absolu inadmiss pa possibilité payer cart débit crédit cet établiss plupart transact font lign moin ça fas bien votr affair payé argent comptant
"Consider this place a mid flight refueling station between the downtown nightclubs and a night in jail somewhere in the Heights lol

Definitely not a place for the faint hearted. I usually frequent the place late hours(2:00am-4:00am crazy huh?). The food is typical greasy spoon but good. The gyros are really good too. They buzz you to the restrooms through a locked door at the top of the stairs(apparently to control the vagrant piss population). They are conveniently located in an abyss of a catacomb basement piss trough(it may be better to wet your pants and stay alive than to chance it...) 

OH! ....and be sure to tip the local hustlers waiting outside. Cheap insurance and a distraction for a clean get away!",2,consid thi place mid flight refuel station downtown nightclub night jail somewher height lol definit place faint heart usual frequent place late hour crazi huh food typic greasi spoon good gyro realli good buzz restroom lock door top stair appar control vagrant piss popul conveni locat abyss catacomb basement piss trough may better wet pant stay aliv chanc oh sure tip local hustler wait outsid cheap insur distract clean get away
I waited a hour and 30 min. They game my food away to females that walked in 20 min after me and placed a order. Food was not what it was the first time I went,2,wait hour min game food away femal walk min place order food wa wa first time went
This was my go to spot but tonight I got cold food and when I told them that it was they argued me down and ask what I wanted to do I said I would prefer some hot food told the guy my fries was cold on my polish boys he took the fries off and made some fresh ones and put them on a cold polish boy with soggy bread I took them and said I will never visit this establishment again but I will say the woman who works in the morning is awesome she always prepares hot food sorry she had to lose a loyal customer.,2,thi wa go spot tonight got cold food told wa argu ask want said would prefer hot food told guy fri wa cold polish boy took fri made fresh one put cold polish boy soggi bread took said never visit thi establish say woman work morn awesom alway prepar hot food sorri lose loyal custom
I went into the restaurant like normal a few weeks back and I saw a girl go in the back and the light skinned cook with freckles disappeared no one noticed me I went to the window and his pants was down to his ankles and she was standing in front of him he was playing with himself and I said hey what the fuck is going on they both jumped and apologize to me but what took the cake he went to take some food off the grill without washing his hands I'm so disgusted I'll never eat there again,1,went restaur like normal week back saw girl go back light skin cook freckl disappear one notic went window hi pant wa hi ankl wa stand front wa play said hey fuck go jump apolog took cake went take food grill without wash hi hand disgust never eat
