text,rating
"Wanna snuggle up to someone while sharing an inexpensive bottle of wine and scrumptious small plates? Then DEFINITELY come here! 

Best Brussels I've ever...",5
"Went here on a whim and it was a wise choice! Not only are the plates beautifully plated, but they are also delicious. Portions are on the smaller side in...",5
Stumbled upon Freddy's on our first night in Paris and I have to say it was such a delicious first meal that still gets me salivating.  The restaurant is...,5
La Poule au Pot made our last night in Paris really something special. Sitting in the center of Paris since 1945 in a quiet neighborhood made up  of small...,5
Our experience was excellent. The food was terrific. Tasty and just perfect. Cute little space with an impressive wine collection. Why 4 stars then? I...,4
"Noooooo, no no. Was really excited to try this place! Had a reservation for 11pm, had issues getting there and arrived at 11:15pm. While that's totally our...",1
"Stopped by for a very late dinner a few evenings ago. I love the location, it's on a quiet street but very close to a lot of action, great for people...",4
"*Caveat- this is a review from an American tourist 

I was in Paris recently residing in the St. Germaine area and this was one of our most disappointing...",2
"Le Bonaparte is fine. Nothing incredible. Food is good, wine is good, the location is fun, but the waiters aren't super friendly. They do come check on you...",3
MUMI is seriously such an awesome place! And if it wasn't for TA (they have a good number of reviews) I wouldn't have found the restaurant cause they have...,5
"This restaurant is a find.  We had an amazing lunch.  Everything was perfect.  The amuse bouche was great as was the starter, main course and dessert.",5
Great food. Great service. Bad sommelier. Corked bottle of Haut Brion and the sommelier left it with us. I would not recommend ordering wine here.,3
"Great staff, funny and engaging.   Strong knowledge of the menu from the champagne to the vegetable sides.  Food was excellent--satisfying and tasty.",5
"Great food, good people... enjoyed this little gem!! Enjoyed the Mâche and of course the beef was fantastic, amazingly tender, mash potatoes were cheesy,...",5
Small cafe offering lunch and dinner in a bistro style. Had the hangar steak which was about average. Next time I had the risotto with scallops. This was...,4
"Our dinner at Les Papilles was a top contender during our stay in Paris. The menu however changes daily and reflects seasonality and what's available fresh,...",5
"Definitely the best meal that I had in Paris. 

We booked reservations about 3 weeks in advanced and I highly recommend you do it before your trip. 

The...",5
"Pure Bliss!

This was my favorite restaurant in Paris; actually, it may be my favorite restaurant and dining experience of all time. Make a reservation,...",5
"Great little neighborhood spot serving organic and all natural French wines and charcuterie. Smoked tuna was exceptional, duck rilletes, lomo de bellota,...",4
"Awesome dessert crepes and cider! I don't think you can go wrong with any of the desert crepes, and I was disappointed we didn't come back for breakfast...",5
"We arrived early, by Paris standards, at 7:00 pm and it was just the right time on a Sunday night as we took one of the last two-person tables. 

10 other...",5
"The Quick: Trendy, sexy vibe, delicious food, and a fun experience. The brunch was incredible.

The Details: besides this place being an Instagram dream,...",5
"This place succeeded in one thing with flying colors: Checking the box of ""Deal with unbelievably rude staff at an ultra-French restaurant."" We had plans to...",1
"There are certain places that are just memorable from beginning to end and Derrière was it. From the ambiance to the service and obviously the food, this...",5
"This is from our visit in March 2018.

We didn't have reservations so we got in line early for a dinner table. We were the first two in line so when the...",5
Really cool counter-culture bar/restaurant. Very Heavy Metal. Right up my alley!. It's in a sweet neighborhood right out of Le Marais. Service was good....,5
"Not sure that the famous gastronomic chroniclers of the chic Saint-Germain-des-Près district ventured much into this cutthroat-like cave, whose facade, and...",5
