photo_id,business_id,caption,label
00ya3KSlWUkbvVv4p-2NiA,iUWou8115_0y66aJdfxfPg,,drink
01EY05I9aDCmR9c3ILvCmA,c6f8wBjPLDzyubEBqgcMnw,"this is the best coffee shop I have ever had, I had Gera beans coffee, it was like got a wake up call at mid-summer, fresh&clear&homy.",drink
-01lP55kvnLQ4XafQNDqRQ,rRTz0zVbjmrEY8dEZmPJTA,"Should've taken a pic of the food when it came, but we ate too fast.",drink
-027sPWIsZFzChKiFcSpIA,ckbDWYPT8TP7etP0WHU2Yg,,drink
02gsqO6SQfesH8qcoZ7J8g,qE9yIXn2GQb2-4a_qOOKzg,,drink
02jlAqlH35nW9NKkDbAptg,IhNASEZ3XnBHmuuVnWdIwA,Hokkaido Boba Tea : best one yet!,drink
02LI6iJ-NEEt9c8aHzZZDg,DMyoxEaTGTakZxWgh1D5bw,Our Wine Bar is pouring some of the most celebrated wines in the world.,drink
02M3VhDxGXGsySu4We-L0Q,DW-QfNaDI9Vb3n55fOi5NQ,,drink
02PHHczLjtJa8-zc_xzslw,lM3PRDxHubW06MDOW1hCtg,,drink
03C0pkVq5r9ikbZBPSxLcA,XkvvUNCmLIvOts0OftXegw,,drink
03ORuTtmzSqqH7gjP2TMig,KBKeuN6Dbr0lJYGy3Go4RQ,,drink
03pcp2wc_Ocal4CglZF8cA,YuhAHVsstmDENWuZM30tMA,Green Thai Tea / Thai Tea.,drink
03umcagHMjE02dYngUgLSQ,wUKzaS1MHg94RGM6z8u9mw,Blood Orange Paloma,drink
058mCax_5TAAtXPwekJJqQ,OETh78qcgDltvHULowwhJg,,drink
05EjQX2FOlHT-vQrwC4t_A,u73j2VQ3TGWdMO-AG7MABw,,drink
0699aI5PK90b3xBpwcxKzg,9mVkXG2ejmjwyzz9TfaUOA,Draco's Smoked Old Fashioned - must order!,drink
069u4JYK0dKyljyEmADs7A,O0MFflOOBQYIl9Idnokq4w,Fresh Fruit Ice Tea and Ice Green Tea,drink
06_FVOwH-V7-ud5cv8Fm_w,elpaaZWhvnZK9tK9iERKwQ,,drink
06kgg2ITT3juAKbz1WvIpw,q6WNhaXjmhngOdxN4qDGRg,Bambu Favorite #10,drink
06N0-UjADarro_AE_E3UFQ,fobFqG-4X6XhDsuW7rb85w,Mimosa Flight,drink
06zkDxNWgUjQelP9xg3rug,Q6cgDdRy8BCmw745WZJCxA,,drink
07A2Xj6fDDjtth05zRkXnA,vHz2RLtfUMVRPFmd7VBEHA,Smoke on the boulevard,drink
07HbwUac13yB1-Vl3qPXPw,5z1WIr7E9P2CSzyN5seeSA,...And Away We Go!!!!,drink
-07NxGmHqS5XhQFNuCODWA,uhqn0nTtzcZOe_t2ORwYBQ,Pink Princess birthday cake,drink
07vWXL7PEinRtZmqEIoGKA,kz7O0_o6WrDQk1Kl8dKeHQ,Shaken or stirred? MARTINI SOCIAL HOUR Reservations: (602) 313-1001 www.StockAndStable.com,drink
07w0dRMvdVPPOeHvhX5oew,F8jf-xPsdTEENyrzLIcqnA,,drink
082AdmBtQKBwDnT8Lc-gsw,SUd3IyEN7n5OYEGyt_U5lg,,drink
083pvDQVz5HdT3XQFrKZ9w,QiWMsZt2GN0vX3A8XGieZA,,drink
085S9GY5spk7-jd9inw04Q,apdb7MGnmnx6nGWBJ0ch_g,Aztec Chocolate,drink
08x8qUmNQSgZ1PYWmNi8cQ,LQI8R7yYXmWzWKd7wLCf2Q,Bloody Mary,drink
094owZff6oufGlTpxMb73g,5HGVlkH0nrSrnpddj6X-5Q,"One of the finest! Perfect for the holidays & always available @TOPSHELF ""DALMORE"" scotch aged for 12yrs.",drink
09dJRbeLBPKUYOICpNP32g,5gz_SKeyBsV0mPBMlZxtvQ,We started distilling and aging our spirits in hand-select oak barrels in 2015 with a mission to create 21st century flavors.,drink
09sCVSIQPRgO93DWOZP2Uw,v4dMYtyjeYmx_YAanhsFjw,,drink
09tMzhxeHgH-ty9KJoIiWg,4RGn0bL7p1sM9zGSvGkCbA,,drink
09z3e0Qsn7jrT28bC_lXUQ,tyWShmboVP-S0hVXSNUhDQ,,drink
0ABoYUxo40-n-QaTZ6mi1Q,kmTPecVJV-1aEP1rapNDGw,Porto flight,drink
0ahvOXf9ouTFRqTSGvOHyg,QXV3L_QFGj8r6nWX2kS2hA,,drink
0aIa5ocPsFbg0JbUnwi0Qw,BLzxL3u2KHgR83b_bs_GlQ,,drink
0aiaLWgMOZXZcI5y4pOheg,iyJCmE19VV6ttawCioIF0A,Perfect for cold and rainy weather. :),drink
0aJBQlAgEW8OQnvEXT8PgA,sHXIiGercy22UVpwMMmYng,,drink
0aJWd7p6M8PJBjBZTpPA5Q,oWHZtv98YyKvSennjtBuAA,,drink
0Ako6ye4N8u1aXOax_Kd3Q,9R2UXiCt1DgV8Yhm3WX2KA,,drink
0AlgQn2h8R_7K2ApmfyJXg,klu0zF1rWAoNAhKPsFyUog,,drink
0Aos_jSOzl8jQdqqpg_LRg,K6unI5ACMado5VoKID6Eng,Aviation,drink
0As6oDil6Tpy9WeZCY3jZQ,Fp6yMeo3K8422CbDQCLrBg,,drink
0AtTPi5BpVG5Ar48QKTsEQ,6sBjtav4xHQJQKBuqxQqsQ,,drink
0b6qzCfVtlObJitOuQVj9g,oSqL8m8Lkd6W9rSvczcmrg,"How do you like retirement so far??? "" Me likey""",drink
0bOEl5jKj8WPs1TRkjwAzg,nrq5H3LZicjMG0wv7gy08g,Shochu trio (apple cinamon/ pineapple/ blueberry blackberry),drink
0Bq7lDvJx2S3TXz7EDI0Jg,6s_6DNOcY6ewuEk6H5n-tQ,,drink
0BYk1pTyp4r5T8xyIHhZCA,sQ2dJZ-oHWe2rs0QFLOUJQ,,drink
0C5-W9wDWtHWS8q8Bgjf4Q,zP4AIAtAXfI0YK8TJmIlRQ,Coffee and Pastries,drink
0cDUcSAfZJO5Ac2RGV-rGQ,ERuWDU3A8uVoZT0CCjZbcw,Mango Smoothie,drink
0cjh3ddjG1G8ejXJjetlEg,3TW5eYp7BjNEpdVbroK4Uw,,drink
0_CR7-A0pAKNDDN_XqCTyA,QpSrAzil6SnTK9-80BrUUA,Fresh brew oolong black tea cheese foam,drink
0CstP52P-cVj-MATINBhyw,jS3U9iEGnJY7j5oT9iDN7A,Mule-Jito,drink
0cY_8IhLxdJxvLK1jHbYuQ,BrGs6OGqqtKqaLuxoMySBg,,drink
0D55PBkx0L2naI-VJy00VA,313pOZvjvoi6QI5oXgtRHA,Treat your orange juice to bottomless champagne!!,drink
0dJpXsxPwQokeqUgLKjLfA,8jlSRdjL4ARMhS3gXrqJmQ,Enjoying the last of the Ruination with some friends!,drink
0DMknbWjSuWh6nP90EwM7Q,VyaeuVCRetU_Gq3oJKze0A,,drink
0dxix4oN_UR6QBQszTvKdQ,smx4rjWRtbkE656F7fE7rA,Try them all!,drink
0DZJ4xjtoW4wUlDjWh-_QQ,kx0wHjn8drdYIR9hvMDiVQ,,drink
0eD_n74czYi6QGDezGWMEA,drr3d_VhJ7ZtBkMeeNIPOQ,,drink
0eEpbn3CI3RUWd-sVfK4Xg,wib5LeUWBkxu67Rl3ruMDQ,,drink
0eEut-o6yEHthmdryLxW6w,5ySPRobQHzXgoVOIXZattw,,drink
0e-GXSRmAlwvLiidL8MS0g,gDlmVaMyxWdcWPxvfY8JsA,Ginger milk tea,drink
0Em2D16eQgI6V1G5eab0Jw,px_BoTnajsldEWCHioDczA,Mango matcha smoothie and mango green tea,drink
0eoy28iO72alAu3KxSb1Fw,wWuGa3OOQJro_XGe-GKBXA,,drink
0EPSa2hPoIUqbYcQzWtUnQ,GTwQgfi8DN23D9fMURYUdw,Sakegria,drink
-0EptA8Ci4gad0arJph4VQ,3uOxuJUnx72b86-3NKhX0A,"Plum Wine, a deal at $3.50 a Glass",drink
0eQDkHdxnfqvWEQJ3rhy3w,8NHV3DBvq9Q88ZtzdR6W2w,Beer sampler,drink
0ERsq7NK_pqMJVT2UnvbLQ,CO5ofU1HQIBf1KWvb5ysLQ,Cute little burger design on my refreshing lemonade,drink
0etgIj0xrhBu2Dekj-fO3w,6T39H2dGUnrM91WqvR0VcQ,"New drink coming. Oreo frappuccino, so creamy
?(???)",drink
0etJJb1BinSnUqB6sWQaWQ,E9IPxXY6pS2gTW2FBkAJmg,Old style beers. Forget light beers here!,drink
0Eu16DmZGGU5UjywG4jlpQ,MAUTYES01tZGlZzAOCSnng,That's a lot of brews on tap!,drink
-0ewGFx2tqWWN4xWAVd5Tw,xaqW4NkmUCGRRjmLxiFJ6Q,Sugar Cane Juice,drink
0-EYBIWsKMBRrLrrKZujhw,dJsp8s2GAW5tsLWLc1BIQQ,,drink
0EzlsN7UPpwqQYIk5y6xCA,Na4PriVltR13E48ZdVRl6A,,drink
0fBbZB0URuFnCMryKplFzg,hy-sxDz-z5tDYB53YODdvA,,drink
0fbNB8LCP08-PiW8SNEHkg,Xt6xo-UmJhYtHiscwRnw0A,,drink
0FcVtX8ifWOdRX0cuFa39g,l1_S1mfGbEMxfT1f9omhEA,,drink
0FGYq2tF2HT4necwvOeqGw,73_UT7fZ7mzXcguX8-oSuQ,Each beer comes with a unique flavour.,drink
0FrbrDZOQK4-cTY-mOPckg,TgcjQfl1E9DE-SjDVOUDJQ,"Dark and stormy ($11) - goslings, ginger beer, lime",drink
0fs4pkORw3-6r3daRNemAA,WJ_zJkio3RZB5FvWAzFkTQ,Core Power great after a workout!,drink
0FSLdXULAV1YvyXZX3Fc2Q,BjwkMW48uE-m9ZOgjxGjHw,,drink
0fvYouz-_90us4dasDuZRg,NYoSzQnJX2vBOT2278UcMA,"Secrets of Xi'an, Hanami, It's Five O'Clock in Hong Kong & Forbidden Rose (front to back)",drink
0G2y58E0WPmIj2oYEigBhA,cTJjTKz2huGZ-ElScC2pSw,Bloody Maria with a mezcal float and a few garnishes from the fixins bar is gonna make shopping at Costco much more tolerable,drink
0_g60WZfB5ALhX8XEm5UNQ,FyUcIAn8timIFybYpOLbAw,Brown sugar deerioca,drink
0G6hxk935qvPdRvKyiY-MQ,Yl05MqCs9xRzrJFkGWLpgA,,drink
0GaQYucBl3icGSyafgnkiQ,fTkbO_-v88Ldn_cJwxHYQQ,Cold tea based drinks,drink
0gd-yVrJtS6wYskrM-G1-Q,UE3AvVnaPEBPneVahYT2eA,,drink
0_Gdzfb5umLjj7Xk4z9VpQ,4eqHtgdXEPG6V-Jzy0MhKw,,drink
0gPA6LIoI1gHgejQfUPzBA,8VQu2-4UOXNm0eqVpjkE_Q,complimentary condiments,drink
0gW4HYCcNuoN4VVeazu_YQ,sFrw-5dZbNMX-8UEEf0A7A,,drink
0H2h8QbiQHSS7d_SOaxB7w,T45pu3kFrzY7hucdmuIHow,,drink
0H3bKby-psGodOnF-OK7RA,Uk9q55mxI6a93ouX-On8_Q,,drink
0h8lrCSOHRIVtW4Gcaqzqw,FAiZp6pLY5l9JITMQPASbg,,drink
0hFM8j5JGGgt7YJ47XRMaw,0qk9V2K2xWgcCeiLGmU3Wg,Peach Oolong Tea with Cheese Foam and Coconut Jelly,drink
0hFraIgQ7a072gvlvGXZ3g,6tLL1P8k9drb7MJEVwmRhg,Flight,drink
0hlFzJ1h8NSiTebB_KIaww,Fg1vquZqY9CC7oc-TYqGgw,Patriotic pic,drink
0HrPJ_DRIZw-NrzBMvj9nw,XXW_OFaYQkkGOGniujZFHg,Ask for the pink slushy drink. I don't rmbr it's name.,drink
_0HtzyX9OZMbodpR4uq6Fw,pJERnIWIt2bHt-Hkuv_I7Q,New Drink Menu at Congee Queen Dundas/Hwy427 store!!! Why not give it a try?!,drink
0i1sFjtyDQJlpHqeMaePSg,Ap17p-tA4Ipzy1s35DfCfg,,drink
0-I6mXqCN5gxewYbII56Cw,-RJ216TTIghZshCkUlD1WQ,,drink
0i9w1MYsIP0PiMIUSkY0Dw,TLMysu1mWiLEslCBon5W1g,,drink
0iEBJ2dzckhS47CvW068qw,5z1WIr7E9P2CSzyN5seeSA,,drink
0ij_nbVqos3tpRD1OrrRGg,3tt-ZYVK1lRrHaFx40VsMA,Margarita Monday/$5 House Margaritas & SIN Specials,drink
0ioleLMAos6f335WTi6M3A,mEcJN4R5G2oyY40KNse8pA,,drink
0IuFAB3d5YLVWTR8lCfIIQ,p0mrAI9F5obInFizyfc_0A,"Sunup Sun Up Brewing ""Bearded Blonde"" 7-14-18",drink
0iZ6C4aUuiVsl4oUf06Ztw,a8pmtlVKf7NiSLI-4KejIw,,drink
0JOHrr0LQO0g0eFhU-tCWw,Vm9yvFpok8hZpSK8PDMLqw,,drink
0jxmT4jyXyo8b7t-P_ksZA,EQCd_CUFrK_gSARL7s01fw,,drink
0JZTl_eKkaMgyHjEMopJbQ,Q4n0Olo50fIhi6a5apuraA,,drink
0K3BNefQQehw8QyUOSbCxw,0JGMKaKJGVuDus5WcJzvjw,,drink
0k3R0Ag9-1eYhzqKjwhdwg,eJ5ruUOrXYl7X5_f2nMk8Q,A nice cold beer can turn any bad day into a great night!,drink
0KBdjXjhInv9H3BRlMv-Hg,thlAnPN1ApoNxSnok_fcvA,The coffee game is on point!,drink
0kddo4j6M8xCGZ5MTm-9xQ,65r0LP3I5sWH-1HXM6eQAg,BK Coffee,drink
0kFNipKAEtr5XHdouZY-8A,_DPJ_PHJnXsuhYhsgBA0Xw,Happiness is my four roses manhattan with doubonnet rouge made by Gail.,drink
0Kj52c-_KeAmaeri2gNKdA,CX86HjLm-fK8ix0xe5LwiA,Mr pineapple is such a refreshing wheat super drinkable at 5percent abv while out in this heat!  Can't miss a chance to stop here! Love it,drink
0KJZva6oM0a1cZk7nKX6EQ,7HrCELR6uv2HkgL7aT_hcQ,Coffee $3,drink
_0kMDRrQi2u2a9PCC1-tOQ,wGvN2zDXJtBtQ4syP25DAA,avocado gourmet boba,drink
0KohpY2XXSE8eP2caBQpOw,nMoNrpsMqW5099mEevNJ-w,Patio,drink
0krxSNQbAAAa_yt1_KB2Qg,wl31Y12nicmMYjJlUR7VmQ,,drink
0kszdVIH2OPSLt1OM3yDlQ,v-2vZKrozNOLX3-DsrjnPg,,drink
0kV55a7uDhBxy3arUJs_lQ,3poDQckMkQbVdz9ap68wLg,,drink
0KXXLT8QKKoPM2xeMCgKGA,wEIujI1XXd767p3VOPhHUg,,drink
-0L2nvQYW6AO4moJhPjeuA,EsJ_iCNSHu_8N--XsK9Rjg,,drink
0L2UCKSRIK-cNfxqJod15Q,plnZTiH4rmzsjuALAzouNw,,drink
0LCtLNSwJyruKHktNnpmiA,5awZCHIPylSsb1HdwcXEhg,,drink
0lFx4Hl2vcaWDLWTq-9b7w,mIoTQ6CyAL7FCpYYmCDuzQ,,drink
0lidM86FzfnrhWNAZrCesA,7iuruLs-q-_RW06IbsBxZw,My dad and brother Kevin visiting from Delaware! Love them both so much!,drink
