photo_id,business_id,caption,label
001kKc6P_rmgaXThAHxEkw,zKZc8GwCaKbACaV0HZAmpg,Clean and simple interior,inside
0036yehPJxVwNZDRDYH2jQ,Qg9L37JCd-PkcWMj9VAWmw,Dynamic Duo!  Great dance music!,inside
00a1DYMN_aQbX_94fo3pGQ,yQS7bWaBhhGZJ1zeXku4yA,Interior,inside
00AABbGa4frWBVtraNJ-nA,DVaTciFGcCXLHTufHZM4_A,Birthday girls as the center of attention.,inside
00Bijgc4XIXhOvlnceIwrw,ePCeAP42lbW9ffGZy8DGVw,Ready for a sweet date!,inside
00CBHH8PNZ0-sikY3TNXog,QF4tRJ-ot7dYwebAsn0seg,,inside
00DEmwJ9eALlB25d6Oiq0w,7EZ4Eu7YJ1ltRCC5jXFJrQ,,inside
00GM6AooGWq0KHqvqBas4g,zlpLjbwrKuNs8zROgB_qUQ,Where did everyone come from?,inside
00Ri7IA6os-M-E3Z5olC9w,F_D-hssVHgarfpqWbFdXow,,inside
00vT8N5T555ad87vyKtvcw,Ec9CBmL3285XkeHaNp-bSQ,Decor is modern !,inside
00y7bPGV4hiWvkviJvU2XQ,DD_dSlQKcln7VXbN1qxcLA,For private party Blakbird,inside
00-yikfmuYtBVBlYjpTu7g,9iy6scMRbs5ue41XRLGEkw,,inside
00Z9yFmUq3J48xp7EQ2Uxw,YJ8ljUhLsz6CtT_2ORNFmg,Entrance,inside
010WuOAfNzOysYZDseNRWw,vHz2RLtfUMVRPFmd7VBEHA,,inside
011oUCcJ3LicJSqTl7RPjg,EAt4rIjErbsz97lh7f0r_Q,Nice atmosphere and vibe.,inside
013wUSU6EA_UO8QeE1-Uuw,tWasMHaS6ZD-xRhevpoqkw,Dining area!,inside
018-dDfGbXgepRRbLWlWVw,ynYEgNimJOyb8dvyr9x0sA,,inside
01bd38Gwy4_XGrpYJIvC4A,v7MM9ut931b_0ZO9D0YUHg,,inside
01c5uxFK4Bd12tLslUkAWQ,WDpDukeCZIVvpwDsvgQa6Q,Inside ordering counter,inside
01IfAWq7vBJWjST_4Qg64g,Q9is4jcGh5FT_1sAKilu6g,,inside
01KguGjva_cFfC1keeDkrA,XZbwH1uNAE2HAkfWmevgog,,inside
01kMwKs0XuDyG62efBJCkQ,XqJG7Ux_mMfMJnyG2Q4m2Q,,inside
01ttT4LVQ7d77HNnU0RAlQ,JpfmCwHUDpMbqX6IDIa2NA,Y a du monde!,inside
01uo8FsBLilKaS7QnVR57A,JA-WeSdtaFagoI6doN0Sbw,Front of store! They make milkshakes too! Yum !,inside
01VUYygjYMdUcXl3yYbkjw,Lo-lpCxoP1_T3cvTpp4ZCw,Small seats at the bar,inside
01XHbLMWZr0P2SeqqmASHg,7qjec-nTvcreVCkVur45fw,Very clean location,inside
01y_bzDJwOgW_39ydjiheA,qn5vNkALlKvvPMvbESZGKQ,Donut display,inside
022MQmwV6oXLQRcmT7fsNQ,R7wN3A5DTjZUiwI1uBp48g,,inside
024aEMlK3h5QhnrExq1-lQ,SAlsmull2aSqBC9JGyuqIw,,inside
02aM-HepNBXrchnJCnnqfQ,d2ZQRjuizstCTnicysmpMQ,,inside
02bWmrmKndWLGq0pYNZGug,axX1hO_lEn9C-na3mMN4Aw,Bar area.,inside
02cPKBQLBrS58k-tygxLtg,4aFfEgg0o767WtN77AI_Ug,,inside
02eIpVTK2se4XpxdX9S7AA,Exk-3-8qD_tSXTER85BN8Q,,inside
02f6TTpmFNBs0qfNW9wRow,xfCgxY_SQfzxFsQjNiLJEQ,,inside
02h02a3IQQmO2_PasKoLIQ,PEy0IduplUy2zFu72Qh-QQ,,inside
02hHzgeAZgzeEN9UQ61KQA,dXhFBJ7OfCY3E_RqZOlcyw,,inside
02hOU8NyzwqMUPPzkeGG2A,jclW7UUEmy9NCSeG5-EHVg,,inside
02J_82ei4krAnTKcwmsRxw,2xKGSQcrC4Tka_ejkDT3vA,Hard at work making bubble tea!,inside
02lhYHgLetO0vx_kJmI6iw,bnYSXSMa09CSL2509gtSiw,,inside
02lLHbsTWLyaFuM3QOo0yQ,aiX_WP7NKPTdF9CfI-M-wg,Main/front bar,inside
02om2ZrOKLN04JCqx-Upng,sk0stgY4NDJYOX1MbNJ3Pg,Hyde Lounge,inside
02SVbRXhXXHAbS4vGQqb3Q,ZkGDCVKSdf8m76cnnalL-A,"Spectacular ""set""- gets you in the mood for dining outside in a Paris Cafe, when you're neither outside or in Paris!",inside
02sYsD3A3rhIMGyyMit_Ag,mDA6_CDxdyQ-_qO5RHloow,,inside
02_TNSt6OrmC-CZQETJsxQ,QvxBnMcBPP1z_NAIYCqqdA,,inside
02US9AlTlO-KKGD3nmkaLA,S6zeihi74Ntn9pozgBJyHA,,inside
0300qd6NPVRbjQLju4lFfg,NMFWunCA1_7-_UoiExtoTA,,inside
031CmK9u9Ub9K3O5CiULpQ,tCw7o3IKFowfVvElPaqy4w,Some little desserts in the front of the cafe.,inside
033r3VDmukc9XcHkpp4D6w,3TW5eYp7BjNEpdVbroK4Uw,www.balletossington.com/#gallery,inside
03AJdIHZnbB185r-zB7C1A,IRbgMt0cVuzK1KSppU16_Q,Bar decor,inside
03C4bgHY_Tiyy1sJIBOw0A,QjhrYO6LD5mrU0WI7jxZ-g,,inside
03cIunV4WwKdfZRoAG-SzQ,06MlxbtB4ZYeg_ri02RIAQ,,inside
03F2EjJ3duRpVEB_n9-TCA,IZk4I8rDH7b5WFdx5jmPRA,,inside
03iaSL98fqH3cy4MMSAeLw,hlrZHM4D48XiQtXh6cRg_w,Quirky interesting decor.,inside
03jSfqjv085hM5IQEjEA1g,LR0qF0FEVsCOhYWUOiH26A,,inside
03sTaz_9Fjv3riyIWTPopg,4cH0Qq2krJS4tp6LLJcopw,"I like the decor almost took me back to Athens Acropolis (Not Really, but a girl can have flashbacks)",inside
03tbT1muyY7zb-drHuPkUg,FEWTPBUv-QiugBe-2uXD4A,,inside
03uxwaH-qJb9gY9Nkf3UDA,LZxSxY98S7l4a7tJiTGufg,Decor,inside
03vpAdU0gKPCXEojar9JxA,koSc5fxyvEvUpUYu7FM9hg,"My 3 year old daughter Frozen birthday cake came out beautiful!! 8"" red velvet cake.",inside
0_3YCGGztLNtRtiR8RBYLg,Kr2lEA7O4-dcloAAjNpnLg,,inside
03zl4lB3EZin_fcGd1nGLQ,pQ6hEVe7KPw28W07Lcoc8A,,inside
044qAAlOYPZ0WyMvuuA17g,aoVSkcCsScirojnEkZn0OQ,Snap it! Las Vegas!!,inside
045jHrV0u7cMAMdeNv-Nlw,dHwBzjgOsHLYA9PuBbE21Q,,inside
04f4oQBoUP4vY0y6avkT-A,YAJzBGvqT3dT_qAg6u8E1A,Amy one of the owners,inside
04_FK-8pT8Nx2Dtxj51vjQ,ZkGDCVKSdf8m76cnnalL-A,"Southern Nevada Health District ""A"" rated wall of fame",inside
04gYskWb7_QC1bE4oKhtSA,uW6UHfONAmm8QttPkbMewQ,Lots of tables. This day wasn't busy.,inside
04iUIMk5N17xsCDUcC7p5Q,x1bRIbodhd1AmYa0UAJwZw,,inside
04kgvVHzoQR8IpybQiyVnQ,OETh78qcgDltvHULowwhJg,,inside
04Mzi0_sTsnKxzcLEB-m_Q,j97PtHlFcx7jhmV_1eQdtw,"Cheese counter, Thin Blue Line Cheese.",inside
04n_Qb4T-rxzwM6VYQVe3g,DhbtTQMTkkmCSt0nBTGCMw,,inside
04pGq7ohcwaubut-uJvwlQ,uOlI0AgDsEdeWNYAZTJxIQ,"Cute, clean interior",inside
04-pqWbkKdgMXuhsT5Xdvw,BLwopwKT4lr50nAo1G0DAA,,inside
04RD3P-GuLxsg_uPyjOhRQ,UVVjnJ67fm9EbNPFK5ZgRQ,Awesome vibe here!,inside
04RRyHLrRhslsHHn76YHjg,s5xP17owYWX0sBvZgMlYmQ,,inside
04v7t1fO0uKpPa0KCsZUFg,hi09hGiB87ajd1RzEOJ7RA,a small event venues with live band,inside
04vlv8md5wUrOsr9Ai9vuA,OoI3WUe4Xl86d53avy3oVA,,inside
04XDSisW0JtxSHTFmVhfMw,sRcoxrxl8TGSgxHoiplH-Q,,inside
051hMkr7YKfBYyOR-XCM6Q,amlwSiqE8WrghAHO7AHyeg,,inside
