photo_id,business_id,caption,label
-03ad__GtOlSTHqdaq3uCA,rbywwnfMjFjJwLQkgpdIEw,,menu
083bs_GWZXW1VcOxD7j4cw,pwdZMC9Q2QH2uNbUj3NDeA,Appetizer Menu,menu
09l6JGQi-0F53_s1GHzJXw,kNysv0XgMNUG2BTo7zlB5g,,menu
0bs7Uunqm_IdoksCzusiPA,sArY4vj_AtHLZoKHscD4ew,Menus on the wall as you wait in line or just look up front. Burgers to salads and even have beer varieties.,menu
0fB6XO_XJLOeD-uuD0-x-A,fjpmW03XtYX6m9b0hSearw,Only $5.99 when you order directly with our restaurant,menu
0fXQpugo9CUIz9Zab6cqWQ,ZXBrJx0Yd8lmvxZM5ZOIFw,,menu
0Gjq7TWEtYrYA7xvRDsQiQ,YJ8ljUhLsz6CtT_2ORNFmg,,menu
0mdwR7Nbxo2JIu67FqJraA,bWucOPNoIjd8ECdiDyVq9Q,,menu
0NSC3lx_uuAaI3AUlrPC5A,Jyub3kujlSOTgxwr9wEKFQ,,menu
0ofHZUBWz1HMby8z0PvWdQ,Db7rYJ8iDo-oE1Ich5Vxdw,Whoever wrote this is artistic,menu
0pFrOSSTx1nznexuciaL4w,ewd7sVeRLWz9YzuTsvwuwg,"Expanded menu! Hand breaded, beer battered fried chicken sandwiches,  brisket dogs and burgers plus XL fries!",menu
0qDCL6n_D_0vfTmvFFpRwA,u-3exVNGKE0iJ7nnxS3BbA,,menu
0SPf6ISHCM8UqVYwLb7oMw,yynw0xuha4DgkjDB_ll4Gw,Promo till dec 24th,menu
0T-bRNwDKYZPwMTBDyucGA,SEt3cCTDBh4Aprn62uWf8Q,,menu
0_thOvOctCRUfXkzQxv7DQ,632tj67V8Oqdh56elNvFng,"Take-out Menu. Nov 20, 2018",menu
0TW7N7Ehm0UYeF4EpbTSyg,VrGI7_nRjXpn0415S3coGQ,,menu
0-WojkNgAIKWAz9tKmO0yA,hihud--QRriCYZw1zZvW4g,,menu
0ykKdETC0Jdw8lgF8uc5ig,-xgmfVMKE38WZ675QQlvdg,,menu
0YogvPjxHvcBs9SBZKjLng,DCix7zgLjuwrdYccAkOnDQ,Menu,menu
0yW_eMSOwC_RD9qXScmqoA,Hy_UuNOaOgpoBDo-d-kcbw,Menu,menu
1_0O7W8-PzbWAqrUICQ5Lg,33B6BM__lHSfwxBn0HTRVw,Today's Special,menu
14TOoq88-2LIh4fU71H4qQ,afm4aqhxPYcTs2x_nMEG9w,Menu (July 2013),menu
17taxfYPM8azU7STSdpczQ,bKrQEKxC9S5k-oz5VKiNVg,Drink menu,menu
18jeCAmalm9QX7gHXSfwsA,5fg-RNWNbqyGn8b8wqe4QQ,,menu
19jAeIIZpVFV5cIyR-UJJg,YK3RMpsJXul-suGJ3cEy7Q,Summer Culinary Countdown Menu,menu
19Ji_GMVuUtjpMEnC0jUNw,6iIH4r_thzKEKH7Qmeulcw,,menu
1DCng3rKL-1cghXB1FUylw,ukcwpK5MSuZgrCmQRz6Qmw,Menu - Oct 2018,menu
1eKmqyK69zA2Inj9PkUk_w,j1fqqRf2Aa6H-igmGJ4eUw,,menu
1ETolvvXktPpbNfnPcrNoQ,3Xq-bUUpRF9qi3MIXPY8cQ,,menu
1f4TYi9sG4x-XvXp440idQ,bMKOBGQDBtEakrlTcJ2sgw,Some new choices here. Having the Columbia cappuccino and it's sweet and flavourful even with no sugar added.,menu
1GgGmHT81-iauu9rrpH04A,ojdcDvzNAZj6n7a5mQMuxw,,menu
1Jh_ccuGKaQP0I3Q4qC6-Q,qHMIOGR1TXMve10EdbRD9A,,menu
1JNrY643m_-P0agFZFp_LA,9AI96ikMEJv7e0WIfz0mjw,MENU,menu
1K6-IMv7jMYql8RhkYXSRQ,rZUK25ho_Wmgv5tRAs7LMA,Tissues left that were shoved into the air conditioner.,menu
1LazP8p_zJC0xMlzJ_mEfA,ZOmf-3NN4Z59b2Fw6VAM7g,Menu,menu
1MbZFKW6HaUuRJv1t9HvAw,RTKVzDedmoWN8YjTcMBoNg,,menu
1svLX3VApuEtKydDPPLf8w,EtMPZAC63gcPSVj8N-dicg,,menu
1T5pPv4XrgU_UpdMlPumhQ,gBsrs7a3w6g1YXJL2uwixw,Locations!,menu
1TK6D7ngNFyBSN3vgXCiHA,zdcesxBdjljRgS0QmCgkBg,Bagelmania menu 6,menu
1uz933GEEUWv2Uk8lfJlig,sn5oL6Cd2l2IoTGk-M-FBg,,menu
1wGdRw8NTalpuSk4tvqrVg,e70-uYpYW-RSUZJMJUaqPA,Menu,menu
1wQVmpb9hOOyI_SsL8OWqw,kT5pJHdnWv9qMdEjySmNeA,The connection thai menu,menu
23W1bKj9D0X119W6adIX_g,NGGlOtWd_Xc14WFVYOmMdg,,menu
26C2dr7EUUn4FKAZD3finw,NjCYi122bx0nNZ05lFIPxg,Mosaic Dine-In Menu 2019 (Front),menu
26RBh9zW8KQwouS8Hg5CbQ,mmazCP1ZH0QsUqDS6OivFA,,menu
28y9MzDWGZkdh590bdHVrw,e3PBfbtXUjMziX6XGsOMoA,Beef gyudon,menu
2AT_IjIfPDzRHQjGj_pvmg,wdOOK3K6vzQy1d_OIk-U9w,,menu
2BNuOKgiHClyiNhfzw5Yyg,v5zzCmCf1L4Utjit12EMuQ,"Menu outside the door. For dinner rodizio NOT including drinks & dessert = $30. Worth every penny, bring your appetite.",menu
2DxrBA-s-WGyzzMrEzP81Q,-M6OV8aHvxMCFNmjP3B8vw,Menu,menu
2H6kNhsV_2k0d_URR_qOLg,koFo1WJgJuvUtXn6KQqpKg,Menu,menu
2HZ89h_h_UK230hreZ4UyA,7rzKCEo0WcTzMBvHE9NnUw,Menu,menu
2K52ERMyNxkQZK92FqnzwQ,DceZd7XnNtpY0xGc2mXI2g,,menu
