photo_id,business_id,caption,label
004hKk-Nx9UNpIUh5XZ3fA,EUWBT5GDxPC95w9itZ1EHw,,outside
00i7pC2cO5BEkFqYsB9Biw,ULKfOnFpNmm32JGEf2qT8w,,outside
00N08DF-CwiXL9Xi77MUWw,Xg5qEQiB-7L6kGJ5F4K3bQ,"If you come here, get ready to do a lot of waiting.",outside
00tNXJvltEV-7ZoNYNFKlA,0W4lkclzZThpx3V65bVgig,Line thick for that smoked meat.. Haha,outside
01cVNtfte9ZOzW9cSUaN7A,KE3jpynolXq36VmhH6Zn7w,The front,outside
01NHBmcong0uJmLzWTk9QA,oS96aJIHFWcFAlGHKKXjaw,La Gourmandine's sign - I shot this photo a little over a year ago :),outside
01ucL3FLkZmVH_NZXiutGg,aEoNNQxqvbSnXv65GrhBeQ,,outside
01WKRji3kIAYX7Qr5aqJww,mu9SOad1xQHC0te41ec0MQ,So nice!,outside
03-JpbmYaNeVrsuDKTrJQw,XiN6fI8I3Mzg2nPRJ9ukRQ,Checking in for 75th birthday celebration,outside
03O1mxyz8sxxCarcxnAkAg,_R1jBQQieKpNGMBqmrLRyA,,outside
03q7L25k5Osdst_ytC2Wpw,ZhO6_8Vc-zfRxvDDvDBynA,Mesa,outside
03we5svklgybc4gA3JGMuw,jsGQXcPfsE1ZHAO4wTUMxQ,,outside
042nuGNB-PiLlRJy-qfhjA,-Ylpy3VyRWwubf9dysuwjQ,,outside
_04KzGptikZluoxAAzKhtw,O3UDRFNGWaddyt9O1Mh88w,Outside,outside
04pSCAQuX94RTn_w0EOeMA,-46pFijv3f2jZH-_Ze6CQA,,outside
054zv3xhuHAMJqNdqLxfmw,08n9bygXHb837Fm74Bvqxw,,outside
06-2WX0nIzi2tcur0nghQQ,pik4ebdFa0UcUhnNkivFcg,,outside
06bYARmpg8tZ3Tl7hXTa5w,7z5Z8O1VRtPTjFlKFF4_jA,,outside
06NkVygPF_4JHadAyj_Ovw,RFj91Y9mk2d824QyD9JTzA,Getting bbq sandwich with peppers!,outside
06SCPuKEpNiTD_s7QX5UGw,g7fYIdHRF4VZ58-aIMp5aQ,Main doors,outside
06tE97-aGFJHQjnOS0Et8g,k8BqCejnaMlw7aoVthvqyw,,outside
07iw8pQXlUErSQT-_tLR_w,360rdTo6CDmpsFyUK-g0Og,,outside
07_RkldIkWxxs0Jn5O6ZTg,yhxv_FcPrWQglM0g0DSEwQ,"The Touch Supper Truck, open for business!",outside
088LYm6I4JH8LldwGZzwoQ,nmG5WSyQXzrgkDrXv5kh5g,The facade.,outside
08qVtuUhlMSdyGNxRQf8Rw,M4372_M6P0O6jhwPdVcHOg,Big gorgeous tree outside!,outside
08Uon9uqPG4dJd6pB9GpZQ,gvM3YlaP8HWenylTkGFYUw,Toronto Island BBQ and Beer Co.,outside
08zxpchB6abNvnsqHLjBvA,tgpRHhuggdqXyeMBZX3Ngw,Waffle House on Westinghouse at I-77 in Charlotte NC,outside
09CJrTEq0Nqgd6FSd1g_tg,CVKOPzBVOj3_apFUmZ9ZWw,,outside
_09j9IIAE1Kk8Nyefx60YA,PYZhmypWipQsQ254olhGWw,Hire the Banana Cart for your next event! Made to order Banana Pops is a unique experience.,outside
09X1TU0az4ked9sCU7US8A,UeXQrElwQpK0xPuyODBn8Q,"ImprovMANIA shows are All-Ages appropriate at 7PM on Fridays and Saturdays. Happy Birthday, Gavin! The 9PM shows are Unfiltered.",outside
09XV5c7oUrAHta9-pMVppA,KJLduFIJ1SPF8tmNfKbc3A,,outside
0_a0vF4zp5ChIj2Gvll6aA,MdjZQiYwl8tljeAbx_fFZQ,,outside
0a0ZKTF4vLPTGHieaDTKMQ,vaURDGRo19cMB3Fy9uyAKA,Solo,outside
0AKQ5un9CY19xqbxR7MLkg,ohxl1F9WBrZeQkD1by_Cag,,outside
